OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,Region
ORD-10001,2024-02-26,CUST-947,PROD-4860,Smart Plug,Smart Home,4,107.2,0.21,Medan
ORD-10002,2024-04-21,CUST-666,PROD-6562,Webcam HD,Peripherals,3,450.31,0.29,Surabaya
ORD-10003,2024-12-29,CUST-928,PROD-2819,Monitor 27inch,Accessories,3,462.96,0.17,Semarang
ORD-10004,2024-09-16,CUST-930,PROD-8483,Wireless Earbuds,Smart Home,3,360.06,0.26,Medan
ORD-10005,2024-01-13,CUST-131,PROD-9401,USB-C Hub,Electronics,4,442.71,0.13,Jakarta
ORD-10006,04/07/2024,CUST-922,PROD-8998,Gaming Mouse,Peripherals,4,428.74,0.03,
ORD-10007,2024-01-17,CUST-850,PROD-6602,Smart Plug,Accessories,1,125.32,0.02,Other
ORD-10008,2024-05-24,CUST-545,PROD-6524,Wireless Earbuds,Smart Home,2,147.3,0.11,Semarang
ORD-10009,2024-12-01,CUST-910,PROD-4124,Smartphone Ultra,Smart Home,3,469.92,0.17,Surabaya
ORD-10009,2024-11-09,CUST-871,PROD-1631,USB-C Hub,Smart Home,5,381.43,0.1,Surabaya
ORD-10011,12/09/2024,CUST-729,PROD-3006,Portable SSD 1TB,Audio,2,249.64,0.28,Other
ORD-10012,2024-08-05,CUST-433,PROD-3455,Webcam HD,Smart Home,1,122.51,0.06,Jakarta
ORD-10013,07/10/2024,CUST-856,PROD-7013,Power Bank 20000mAh,Audio,1,193.74,0.29,Other
ORD-10014,2024-03-19,CUST-450,PROD-9493,Mechanical Keyboard,Smart Home,5,206.38,0.12,Surabaya
ORD-10015,01/05/2024,CUST-339,PROD-5093,Gaming Mouse,Peripherals,4,72.38,0.07,
ORD-10016,2024-01-28,CUST-347,PROD-5751,Webcam HD,Audio,2,199.61,14%,Jakarta
ORD-10017,2024-10-17,CUST-412,PROD-4063,Wireless Earbuds,Smart Home,5,230.66,0.22,Other
ORD-10018,2024-04-29,CUST-202,PROD-7808,Smartphone Ultra,Audio,5,106.34,0.11,Jakarta
ORD-10019,2024-09-16,CUST-294,PROD-8679,Router Wi-Fi 6,Smart Home,3,321.85,0.25,Surabaya
ORD-10019,2024-11-02,CUST-482,PROD-7206,Router Wi-Fi 6,Accessories,2,48.03,0.1,Medan
ORD-10021,2024-01-28,CUST-610,PROD-5856,Smart Plug,Peripherals,3,403.35,0.16,
ORD-10022,2024-11-12,CUST-779,PROD-6067,Portable SSD 1TB,Audio,4,111.75,0.21,Other
ORD-10023,11/04/2024,CUST-200,PROD-4085,Mechanical Keyboard,Peripherals,5,494.42,0.05,Bandung
ORD-10024,2024-04-24,CUST-451,PROD-5130,Webcam HD,Peripherals,3,415.35,0.29,Surabaya
